2025-06-02 10:59:25,572 - DEBUG - Updated edge: '192.168.27.13' -> '8.8.8.8' with key=690 and attributes {'protocol_UNKNOWN': 0.0, 'protocol_TCP': 0.0, 'protocol_UDP': 1.0, 'protocol_ICMP': 0.0, 'conn_state_successful': 1.0, 'conn_state_rejected_reset': 0.0, 'conn_state_partial_other_unknown': 0.0}.
2025-06-02 10:59:25,572 - DEBUG - Updated edge: '192.168.27.13' -> '8.8.8.8' with key=691 and attributes {'protocol_UNKNOWN': 0.0, 'protocol_TCP': 0.0, 'protocol_UDP': 1.0, 'protocol_ICMP': 0.0, 'conn_state_successful': 1.0, 'conn_state_rejected_reset': 0.0, 'conn_state_partial_other_unknown': 0.0}.
2025-06-02 10:59:25,572 - DEBUG - Updated edge: '192.168.27.13' -> '8.8.8.8' with key=692 and attributes {'protocol_UNKNOWN': 0.0, 'protocol_TCP': 0.0, 'protocol_UDP': 1.0, 'protocol_ICMP': 0.0, 'conn_state_successful': 1.0, 'conn_state_rejected_reset': 0.0, 'conn_state_partial_other_unknown': 0.0}.
2025-06-02 10:59:25,572 - DEBUG - Updated edge: '192.168.27.13' -> '8.8.8.8' with key=693 and attributes {'protocol_UNKNOWN': 0.0, 'protocol_TCP': 0.0, 'protocol_UDP': 1.0, 'protocol_ICMP': 0.0, 'conn_state_successful': 1.0, 'conn_state_rejected_reset': 0.0, 'conn_state_partial_other_unknown': 0.0}.
2025-06-02 10:59:25,572 - DEBUG - Updated edge: '192.168.27.13' -> '8.8.8.8' with key=694 and attributes {'protocol_UNKNOWN': 0.0, 'protocol_TCP': 0.0, 'protocol_UDP': 1.0, 'protocol_ICMP': 0.0, 'conn_state_successful': 1.0, 'conn_state_rejected_reset': 0.0, 'conn_state_partial_other_unknown': 0.0}.
2025-06-02 10:59:25,572 - DEBUG - Updated edge: '192.168.27.13' -> '8.8.8.8' with key=695 and attributes {'protocol_UNKNOWN': 0.0, 'protocol_TCP': 0.0, 'protocol_UDP': 1.0, 'protocol_ICMP': 0.0, 'conn_state_successful': 1.0, 'conn_state_rejected_reset': 0.0, 'conn_state_partial_other_unknown': 0.0}.
2025-06-02 10:59:25,573 - DEBUG - Updated edge: '192.168.27.13' -> '8.8.8.8' with key=696 and attributes {'protocol_UNKNOWN': 0.0, 'protocol_TCP': 0.0, 'protocol_UDP': 1.0, 'protocol_ICMP': 0.0, 'conn_state_successful': 1.0, 'conn_state_rejected_reset': 0.0, 'conn_state_partial_other_unknown': 0.0}.
2025-06-02 10:59:25,573 - DEBUG - Updated edge: '192.168.27.13' -> '8.8.8.8' with key=697 and attributes {'protocol_UNKNOWN': 0.0, 'protocol_TCP': 0.0, 'protocol_UDP': 1.0, 'protocol_ICMP': 0.0, 'conn_state_successful': 1.0, 'conn_state_rejected_reset': 0.0, 'conn_state_partial_other_unknown': 0.0}.
2025-06-02 10:59:25,573 - DEBUG - Updated edge: '192.168.27.13' -> '8.8.8.8' with key=698 and attributes {'protocol_UNKNOWN': 0.0, 'protocol_TCP': 0.0, 'protocol_UDP': 1.0, 'protocol_ICMP': 0.0, 'conn_state_successful': 1.0, 'conn_state_rejected_reset': 0.0, 'conn_state_partial_other_unknown': 0.0}.
2025-06-02 10:59:25,573 - DEBUG - Updated edge: '192.168.27.13' -> '8.8.8.8' with key=699 and attributes {'protocol_UNKNOWN': 0.0, 'protocol_TCP': 0.0, 'protocol_UDP': 1.0, 'protocol_ICMP': 0.0, 'conn_state_successful': 1.0, 'conn_state_rejected_reset': 0.0, 'conn_state_partial_other_unknown': 0.0}.
2025-06-02 10:59:25,573 - DEBUG - Updated edge: '192.168.27.13' -> '8.8.8.8' with key=700 and attributes {'protocol_UNKNOWN': 0.0, 'protocol_TCP': 0.0, 'protocol_UDP': 1.0, 'protocol_ICMP': 0.0, 'conn_state_successful': 1.0, 'conn_state_rejected_reset': 0.0, 'conn_state_partial_other_unknown': 0.0}.
2025-06-02 10:59:25,573 - DEBUG - Updated edge: '192.168.27.13' -> '8.8.8.8' with key=701 and attributes {'protocol_UNKNOWN': 0.0, 'protocol_TCP': 0.0, 'protocol_UDP': 1.0, 'protocol_ICMP': 0.0, 'conn_state_successful': 1.0, 'conn_state_rejected_reset': 0.0, 'conn_state_partial_other_unknown': 0.0}.
2025-06-02 10:59:25,573 - DEBUG - Updated edge: '192.168.27.13' -> '8.8.8.8' with key=702 and attributes {'protocol_UNKNOWN': 0.0, 'protocol_TCP': 0.0, 'protocol_UDP': 1.0, 'protocol_ICMP': 0.0, 'conn_state_successful': 1.0, 'conn_state_rejected_reset': 0.0, 'conn_state_partial_other_unknown': 0.0}.
2025-06-02 10:59:25,573 - DEBUG - Updated edge: '192.168.27.13' -> '8.8.8.8' with key=703 and attributes {'protocol_UNKNOWN': 0.0, 'protocol_TCP': 0.0, 'protocol_UDP': 1.0, 'protocol_ICMP': 0.0, 'conn_state_successful': 1.0, 'conn_state_rejected_reset': 0.0, 'conn_state_partial_other_unknown': 0.0}.
2025-06-02 10:59:25,573 - DEBUG - Updated edge: '192.168.27.13' -> '8.8.8.8' with key=704 and attributes {'protocol_UNKNOWN': 0.0, 'protocol_TCP': 0.0, 'protocol_UDP': 1.0, 'protocol_ICMP': 0.0, 'conn_state_successful': 1.0, 'conn_state_rejected_reset': 0.0, 'conn_state_partial_other_unknown': 0.0}.
2025-06-02 10:59:25,573 - DEBUG - Updated edge: '192.168.27.13' -> '8.8.8.8' with key=705 and attributes {'protocol_UNKNOWN': 0.0, 'protocol_TCP': 0.0, 'protocol_UDP': 1.0, 'protocol_ICMP': 0.0, 'conn_state_successful': 1.0, 'conn_state_rejected_reset': 0.0, 'conn_state_partial_other_unknown': 0.0}.
2025-06-02 10:59:25,573 - DEBUG - Updated edge: '192.168.27.13' -> '8.8.8.8' with key=706 and attributes {'protocol_UNKNOWN': 0.0, 'protocol_TCP': 0.0, 'protocol_UDP': 1.0, 'protocol_ICMP': 0.0, 'conn_state_successful': 1.0, 'conn_state_rejected_reset': 0.0, 'conn_state_partial_other_unknown': 0.0}.
2025-06-02 10:59:25,573 - DEBUG - Updated edge: '192.168.27.13' -> '8.8.8.8' with key=707 and attributes {'protocol_UNKNOWN': 0.0, 'protocol_TCP': 0.0, 'protocol_UDP': 1.0, 'protocol_ICMP': 0.0, 'conn_state_successful': 1.0, 'conn_state_rejected_reset': 0.0, 'conn_state_partial_other_unknown': 0.0}.
2025-06-02 10:59:25,573 - DEBUG - Updated edge: '192.168.27.13' -> '8.8.8.8' with key=708 and attributes {'protocol_UNKNOWN': 0.0, 'protocol_TCP': 0.0, 'protocol_UDP': 1.0, 'protocol_ICMP': 0.0, 'conn_state_successful': 1.0, 'conn_state_rejected_reset': 0.0, 'conn_state_partial_other_unknown': 0.0}.
2025-06-02 10:59:25,573 - DEBUG - Updated edge: '192.168.27.13' -> '8.8.8.8' with key=709 and attributes {'protocol_UNKNOWN': 0.0, 'protocol_TCP': 0.0, 'protocol_UDP': 1.0, 'protocol_ICMP': 0.0, 'conn_state_successful': 0.0, 'conn_state_rejected_reset': 0.0, 'conn_state_partial_other_unknown': 1.0}.
2025-06-02 10:59:25,573 - DEBUG - Updated edge: '192.168.27.13' -> '8.8.8.8' with key=710 and attributes {'protocol_UNKNOWN': 0.0, 'protocol_TCP': 0.0, 'protocol_UDP': 1.0, 'protocol_ICMP': 0.0, 'conn_state_successful': 1.0, 'conn_state_rejected_reset': 0.0, 'conn_state_partial_other_unknown': 0.0}.
2025-06-02 10:59:25,573 - DEBUG - Updated edge: '192.168.27.13' -> '8.8.8.8' with key=711 and attributes {'protocol_UNKNOWN': 0.0, 'protocol_TCP': 0.0, 'protocol_UDP': 1.0, 'protocol_ICMP': 0.0, 'conn_state_successful': 1.0, 'conn_state_rejected_reset': 0.0, 'conn_state_partial_other_unknown': 0.0}.
2025-06-02 10:59:25,573 - DEBUG - Updated edge: '192.168.27.13' -> '8.8.8.8' with key=712 and attributes {'protocol_UNKNOWN': 0.0, 'protocol_TCP': 0.0, 'protocol_UDP': 1.0, 'protocol_ICMP': 0.0, 'conn_state_successful': 1.0, 'conn_state_rejected_reset': 0.0, 'conn_state_partial_other_unknown': 0.0}.
2025-06-02 10:59:25,573 - DEBUG - Updated edge: '192.168.27.13' -> '8.8.8.8' with key=713 and attributes {'protocol_UNKNOWN': 0.0, 'protocol_TCP': 0.0, 'protocol_UDP': 1.0, 'protocol_ICMP': 0.0, 'conn_state_successful': 1.0, 'conn_state_rejected_reset': 0.0, 'conn_state_partial_other_unknown': 0.0}.
2025-06-02 10:59:25,573 - DEBUG - Updated edge: '192.168.27.13' -> '8.8.8.8' with key=714 and attributes {'protocol_UNKNOWN': 0.0, 'protocol_TCP': 0.0, 'protocol_UDP': 1.0, 'protocol_ICMP': 0.0, 'conn_state_successful': 1.0, 'conn_state_rejected_reset': 0.0, 'conn_state_partial_other_unknown': 0.0}.
2025-06-02 10:59:25,573 - DEBUG - Updated edge: '192.168.27.13' -> '8.8.8.8' with key=715 and attributes {'protocol_UNKNOWN': 0.0, 'protocol_TCP': 0.0, 'protocol_UDP': 1.0, 'protocol_ICMP': 0.0, 'conn_state_successful': 1.0, 'conn_state_rejected_reset': 0.0, 'conn_state_partial_other_unknown': 0.0}.
